Number;Model Name;Number of Tasks/Events;Complexity Degree;Complexity;Errors;Edge/Edge Intersection;Edge/Node Inersection;Label Intersection;Imprecision;Model Size;Optimal Size;;Directory
1;Lego Boxer;3;3;Simple;0;0;0;0;0;;;; Home» Archive» Lego
2;Lego Conveyor;3;3;Simple;0;0;0;0;0;;;; Home» Archive» Lego
3;Lego Crane;10;10;Medium;0;0;0;0;0;;;; Home» Archive» Lego
4;Lego Ejector;6;6;Simple;0;0;0;0;0;;;; Home» Archive» Lego
5;Lego Liddy;3;3;Simple;0;0;0;0;0;;;; Home» Archive» Lego
6;Lego Plate;3;3;Simple;0;0;0;0;0;;;; Home» Archive» Lego
7;Lego Transporter;4;4;Simple;0;0;0;0;0;;;; Home» Archive» Lego
8;Lego_Part_1;5;5;Simple;3;0;0;0;0;;;; Home» Archive» Lego
9;Heating Control;6;20;Medium;0;1;1;5;2;;;;Home» Experiments» Digital Twin Container» Heating
10;Heating Physical;6;18;Medium;0;1;0;0;2;;;;Home» Experiments» Digital Twin Container» Heating
11;Choice1;2;10;Medium;0;0;0;1;0;;;;Home» Experiments» Distributed Processes
12;Choice2;1;5;Simple;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
13;Choice3;1;5;Simple;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
14;Customer;3;5;Simple;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
15;Manufacturer;9;28;Complex;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
16;One From Many 1;2;12;Medium;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
17;One From Many 2;1;4;Simple;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
18;One From Many 3;1;4;Simple;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
19;One To Many 1;3;14;Medium;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
20;One To Many 2;2;6;Simple;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
21;One To Many 3;2;6;Simple;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
22;One To Many Send 1;1;5;Simple;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
23;One To Many Send 2;1;5;Simple;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
24;One To Many Send 3;1;5;Simple;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
25;Send Receive 1;2;11;Medium;0;0;2;1;1;;;;Home» Experiments» Distributed Processes
26;Send Receive 2;2;5;Simple;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
27;Stream 1;2;9;Medium;0;0;0;1;0;;;;Home» Experiments» Distributed Processes
28;Stream 2;2;9;Medium;0;0;0;1;0;;;;Home» Experiments» Distributed Processes
29;SupplierA;3;8;Medium;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
30;SupplierB;5;11;Medium;0;0;1;1;0;;;;Home» Experiments» Distributed Processes
31;SupplierC;2;6;Simple;0;0;0;0;0;;;;Home» Experiments» Distributed Processes
32;Marine Traffic 1;1;6;Simple;0;1;0;0;0;;;;Home» Experiments» Marine Traffic
33;report_test;0;6;Simple;0;1;0;1;0;;;;Home» Experiments» Reports
34;bicycle_manufacturing;11;28;Complex;0;0;0;1;1;;;;Home» Experiments» Resources
35;lead_processing;6;14;Medium;0;3;0;1;2;;;;Home» Experiments» Resources
36;running_example;0;38;Complex;0;0;0;1;1;;;;Home» Experiments» Resources
37;running_example_with_organization;0;39;Complex;0;0;0;2;1;;;;Home» Experiments» Resources
39;Machining V2;2;4;Simple;0;0;0;0;0;;;;Home» Experiments» Sim Engine
40;Subprocess;2;4;Simple;1;0;0;0;0;;;;Home» Experiments» Sim Engine
41;BillingProcessofISP;6;28;Complex;0;0;1;1;2;;;;Home» Experiments» Time Shifting
42;ExpenseReport;9;33;Complex;0;0;1;2;0;;;;Home» Experiments» Time Shifting
43;MeetingRelatedActivities;9;22;Medium;0;0;0;0;0;;;;Home» Experiments» Time Shifting
44;QuincesGalore;8;33;Complex;0;0;1;3;3;;;;Home» Experiments» Time Shifting
45;ShiftingTest;6;25;Medium;0;1;0;1;0;;;;Home» Experiments» Time Shifting
46;ShiftingTestSimple;1;13;Medium;0;0;2;0;1;;;;Home» Experiments» Time Shifting
47;_ManyDays;11;30;Complex;0;3;1;1;1;;;;Home» Experiments» Time Shifting
48;_ManyMonths;11;30;Complex;0;3;1;1;1;;;;Home» Experiments» Time Shifting
49;Interruptions_V1;7;21;Medium;1;0;1;0;0;;;;Home» Experiments» Transportation
50;Interruptions_V2;8;24;Medium;1;2;1;0;2;;;;Home» Experiments» Transportation
51;Interruptions_V3;8;24;Medium;1;2;1;0;2;;;;Home» Experiments» Transportation
52;NestedSensorTest;1;6;Simple;0;0;0;0;0;;;;Home» Experiments» Transportation
53;SensorTest;2;7;Simple;0;0;0;0;0;;;;Home» Experiments» Transportation
54;VerkehrTest;1;6;Simple;0;0;0;0;0;;;;Home» Experiments» Transportation
55;ChangeResources;3;9;Medium;0;0;3;1;0;;;;Home» Ideas Phase 1
56;Idea;3;7;Simple;0;0;0;0;0;;;;Home» Ideas Phase 1
57;Phase1V1;16;33;Complex;0;0;0;0;0;;;;Home» Ideas Phase 1
58;Phase1V2;24;45;Complex;0;0;3;1;0;;;;Home» Ideas Phase 1
59;Phase1V3;26;47;Complex;0;0;3;1;0;;;;Home» Ideas Phase 1
60;Phase1V4;26;47;Complex;0;0;3;1;0;;;;Home» Ideas Phase 1
